AbbrA,AbbrB,City,Mascot,Team
ATL,ATL,Atlanta,Hawks,Atlanta Hawks
BKN,BRK,Brooklyn,Nets,Brooklyn Nets
BOS,BOS,Boston,Celtics,Boston Celtics
CHA,CHO,Charlotte,Hornets,Charlotte Hornets
CHI,CHI,Chicago,Bulls,Chicago Bulls
CLE,CLE,Cleveland,Cavaliers,Cleveland Cavaliers
DAL,DAL,Dallas,Mavericks,Dallas Mavericks
DEN,DEN,Denver,Nuggets,Denver Nuggets
DET,DET,Detroit,Pistons,Detroit Pistons
GSW,GSW,Golden State,Warriors,Golden State Warriors
HOU,HOU,Houston,Rockets,Houston Rockets
IND,IND,Indiana,Pacers,Indiana Pacers
LAC,LAC,Los Angeles,Clippers,Los Angeles Clippers
LAL,LAL,Los Angeles,Lakers,Los Angeles Lakers
MEM,MEM,Memphis,Grizzlies,Memphis Grizzlies
MIA,MIA,Miami,Heat,Miami Heat
MIL,MIL,Milwaukee,Bucks,Milwaukee Bucks
MIN,MIN,Minnesota,Timberwolves,Minnesota Timberwolves
NOP,NOP,New Orleans,Pelicans,New Orleans Pelicans
NYK,NYK,New York,Knicks,New York Knicks
OKC,OKC,Oklahoma City,Thunder,Oklahoma City Thunder
ORL,ORL,Orlando,Magic,Orlando Magic
PHI,PHI,Philadelphia,76ers,Philadelphia 76ers
PHX,PHO,Phoenix,Suns,Phoenix Suns
POR,POR,Portland,Trail Blazers,Portland Trail Blazers
SAC,SAC,Sacramento,Kings,Sacramento Kings
SAS,SAS,San Antonio,Spurs,San Antonio Spurs
TOR,TOR,Toronto,Raptors,Toronto Raptors
UTA,UTA,Utah,Jazz,Utah Jazz
WAS,WAS,Washington,Wizards,Washington Wizards
